,text,pages_N
4,"[pageend1]O b s a h ZRCADLENÍ V HLOUBCE /Ot. Březina/ UZURPATOR /Aleš Veselý/ FREEDOM FROM ThE KNOWN /J. Krishnamurti, překlad Pigi/ ZEN""FRO KUŘÁKY /překlad Amateur/ PROJEKT GREX PSANÍ DO VĚTRU KLUB KRÍŽOVKÁŘá ^ISTÁI /překlad Amateur/ /Jonathan M./ /Jonathan M./ /Cirillo/ ¿¿TKÁNÍ S ANDĚLEM BIZARNOSTI /P. / .ýtvarnem do čísla přispěli: Kechiel I. /I. str. obálky/, P. /zadní str. obálky, kresby, foto k ""Setkání Dasha /kresba/, B. /textkoláže/,Jonathan /fototextkoláže/ [pageend2]",2
5,"TANZ LOKAL [pageend1]O b s a h TAJENO JE F^Í^A X^LFT /Egon Bondy/ / o t i š t ě n o s laskavým svolením Časop. 3-M/ ¿OU^NÝ DÁN /MDVD/ žlDOVSi^í V ¿Ah VUDRÁRR/David M. Abramson t r a n s . C a d i j k KechouŠ/ PRO^INEC / j . h . / BLUüR O VLAöTNi TVARI PituBju^ / P a o l o Z a c c a g n i n i , p i e l . V i a / JAK. bE TAhN^ KO^AM / J o n a t h a n M./ NOStRADA^L^ / C a r l o P a t r i a n o , p r e k l . V i a / SAMUEL BÄK / G a b r i e l Laub, p r e l . D s / PATENT / J o n a t h a n M./ — — — — RiiRjVANKY * JVAi.X 4 D^ičivU NEB^, PEKLO, ilÁJ / C i r i l l o / / l . s t r . obálky: C i r i l l o , z a d n í s t r . o b . : P . / [pageend2]",2
6,S ¿ESTMSR [pageend1]3 e s t ta i r / vánoce 86 / 4 / o b e a h : I) KDY% z ULaVÍ. - ^ j r i l l a Yf?ncv4ne ^ t k á a í RáchovcA 06 BezgBzt 3985 ) EC^DY - nakolik Meni a j^ho tvorby 3) ÚVALY PODZIMNÍ - O času e í a r t i a čsau s a r t i řerk za akny Praha alíná ad P&T 4) HL.RTIR ^C^UH. - Bá^en ) ¿tinÁVA O - k ů&rtí 5. S e i f e r t a oá 6 i r i l l s Ml íJCJ. - ^KCUlRY LC ř.O^U rXÍJRhUi n ^ pc^idky J.M. 7) PÁN PRSTENŮ - J.RR TOLKIEN - úryvek románu I^i^LiSiáUS - ^tru^n^ ^vcd to tvařte ^rňaerú ) Ař^L L Sr^ti.luL -¿utr-ovn-^ v^tné pojed- náni od ť . ;0)NCSTHaDAMMS - í . ř a s t -Carlo 11)JÁ JAKC KLAVÍR-TC- BYCH SI (í^dy art) ť'f't-1 + i'a.-Latini -kapitoly z výtvarného umřní (M.) 13} ABDUL MÁTI KLAhAáRB - transcendentní malíř [pageend2],2
87,"DISKUSE - říjen 1983 Jan Tesař - Vlastimila Tesařová /Paříž/ /Brno XII, Ruská 5, 612 00/ Jan Tesař Deset tezí proti krizi K prvnímu výročí invaze, v srpnu 1969, jsme v Praze uveřejnili manifest DESET BODŮ, který byl prvním projevem demokratické opozice . proti Husákovu režimu. Dnes, po dvanácti letech, je československá společnost v duchovním marasmu a opoziční hnutí v krizi# Příčinou duchovního marasmu českého a slovenského národa je slabost a bezvýchodnost demokratické opozice, která není schopna nabídnout našim národům perspektivní alternativu k obecně opovrhovanému a nenáviděnému režimu, a příčinou kritického stavu opozičního hnutí je jeho odcizenost Českému a slovenskému národu, prvořadým požadavkem dne je nalézt východisko z tohoto bludného kruhu. Ze signatářů manifestu z roku 1969 tři /Rudolf Battěk, Václav Havel a Karel Kýncl/ jsou ve vezení, jiní jsou v těžkých podmínkách desorientováni a ještě jiní podlehli skepsi, aí už pod tlakem Husákovy diktatury anebo cizího prostředí emigrace. Z původních signatářů jsem zůstal sám, kdo se může vyslovit. NA MNOŽSTVÍ NEHLEĎTE. Adresuji svých DESET TEZÍ nikoli tak jako před dvanácti roky pražským místodržícím, nýbrž českému a slovenskému lidu, který je hlavním garantem vlastního osudu a budoucím soudcem nad místodržícími. Vyzývám každého, komu není lhostejný zápas ze>českou a slovenskou svobodu, aby zaujal stanovisko k těmto mým tezímj ti, kdo budou souhlasit, neměli by tak Činit před tváří tyrana a jeho policie. 1) MUSÍME PODNĚCOVAT NOVÉ ČESKÉ, SLOVENSKÉ A ČESKOSLOVENSKÉ VLASTENECTVÍ A NOVÉ NÁRODNÍ A STÁTNÍ VĚDOMÍ NA JEHO ZÁKLADĚ. Pražský režim zdiskreditoval všechny tradiční národní hodnoty, k nimž se ve svých prvotních fázích hlásilj nyní je pohodil. Opozice, namísto aby staré ideály demokratického a humanistického vlastenectví obhajovala a rozvíjela, staví se k nim ironicky. Jako souhrn obojího vzniká národní nihilismus. Zpochybnění duchovních hodnot, podle kterých se orientovalo národní úsilí Čechů a Slováků v celé moderní době, je podstatou duchovní a mravní krize české a slovenské společnosti. Krizi není možno překonat rezignací na ideály, v nichž se naše národy zrodily, nýbrž očištěním [pageend1]",1
88,"D I S K U S E č. 5 - prosinec 1983 /Teoreticko-politický občasník/ O b s a h tohoto čísla: O možnosti pozitivní alternativy Srpna 1968 /Luboš Kohout/ Tři poznámky na okraj diskuse /Vlastimila Tesařová/ Luboš Kohout 0 b o ž b o s ti । o » 1 t i t ô í altarnativy Srpna 1 M 8 . Mezí «utery jí í velel pMetnýth etuáií, věnovaných ěeekoeloven- MM obrodná» |MeM reku Ä8, probíhá Maoŕádng intenzívni sF©r v pohledu M příčiny vojenská© zásahu varšavské pitky. Ja t©®i tak nejen proto, ie títo «tof i se Mienili áa roBliWc^ politických tá- borô, hýbrl i preto, le MMMM i i odetnpe», nyní W 15 let, tu stále trvá totální prasenná absence M nedostupnost pokud Jde o úmysly e Mmwt tÄÄejiÄo odpovědného sovítsMio politického vedení. lej- saéna ae autoři různí v názorech aa chyby, Ji^tM se dopustilo x ímo x vedoucí *Äibdekw»M* jádro reformních kommiatů. Jedni autoři, předev- Ml MhMéní í MM aÉNMM a protikOMmietá, soudí, la Ml M"" lo postupov®t radikálněji, i s rizika« plní roztržky e OSS e SMÍ! tedy nastolit plný politicky pluralismus, umoisit volnou ""hru o e g o“, vyslovit ' :,b vůli k ©zbrojeném odporu t j připravovat Ml cílevšdoeé k nMu. Druží se naopak dunívají., že postup ref©^ mil hýt uválliváj- i£$ tedy pHhH^et^fcmilaci politiky, a hlawí při politické praxi, více k pohledu partnerů i Variavské stó.oavy, a tedy rozhodná ji prosa- Brní orientací ^g u b© n« »uaevře^ pluraliM&^e"", při partnerských vztazích f;olitictýÄ MM • s4>wch s^aizací, zaatcupW^ v národní, ft-onti, při šachování nové chápmé a d^kratidtijí realizovaná veôoueí rele ^«aiwiji '^st^ovat proti e.xtrés&, aejména v uásti hro- Milawcícti prostředků. Palato najríce M autoři abo-i^t t ton, la Wltrotnlniliŕ obrodný ‘ proce® se »«ai » «Ä1 provádlt ryzeji « sel M w ste» ttdnesti bylo, c©i by »Ä© »iaořádfiý vfz»» pre pozitivaí ovlimání MM* v ^ÄepôledSBÄé rovini. Pokud píší a publikují přední představitelé polednové politiky KSC /ZnžlynÄí ""Teorie • praxe poteeu o refomi politického «yetim MMíb* lima v í esko slovenskú roku 1968* « *»áa přichází » Kre«luw> J»iájek: ■ MÄte’odxÄ politické aepekty MMAMIUMM roku 1958« « ""Setkání s střety* • ne^aovéjM studie • eý« kritický« dc«lovea$ Sarkovaký: *Wedo- tonče^ rcBUovor*/ neváhají - při oboajaby vlastního poůí- [pageend1]",1
89,D I S K U S E č.4 - listopad 1983 /teoreticko-politický občasník/ OBSAH tohoto čísla: Poznámka vydavatele K problematice socialistické demokracie /Vlastimila Tesařová/ Rozhovor Milovana Djilase o krizi jugoslávské společnosti [pageend1],1
91,"DISKUSE č. 7 - únor 1984 /Teoreticko-politický občasník/ Obsah tohoto čísla: Ještě jednou o ""vnuceném modelu"" /Vlastimila Tesařová/ Poznámky k reformě našeho dnešního hospodářského mechanismu - na pokračování /kolektiv autorů/ Vlastimila Tesařová Ještě jednou o ""vnuceném modelu*. Ve svém textu ""K problematice socialistické demokracie"" /viz Diskuse 3.4/ jsem napsala, že úvahy o ""vnuceném modelu"" mi nejsou sympatické. Samotný projev sympatií nebo antipatií ovšem žádný objektivně existující problém nevyřeší — a otázka svobodné volby naší specifické cesty k socialismu objektivně existujícím problémem skutečně je* Navíc se jedná o tezi v opozičním hnutí velmi rozšířenou a od Srpna 1968 hluboce zakořeněnou* Naposled jsem se s ní setkala jako s názorem, že všechny nešvary, jimiž naše současná společnost trpí, mezi nimi zejména korupce a protekcionářství, nejsou tradičně vlastní naší národní povaze, nýbrž že jde o import z východu* Já sama jsem se již několikrát vyjádřila - a znovu to opakuji - v tom smyslu, že si vůbec nemyslím, že by Sovětský svaz nezasahoval podstatnou měrou do naší poválečné historie, nebo že by byl lhostejný k tomu, co se u nás děje dnes a bude dít v budoucnu* Přesto však stále nepovažuji tezi o ""vnuceném modelu"" za slastnou a nosnou platformu pro rozvíjení našeho opozičního hnutí* k to zejména z následujících důvodů: Především proto, že přisoudíme-li této tezi prioritní postavení, vzniká problém, jak se dopracovat k objektivní analýze, která je nezbytná pro zrod reálné koncepce jakéhokoliv společenského hnutí* Ještě z dob svých vysokoškolských studií /léta 1951-1956/ si pamatuji, že tehdy mezi starší a mladou generací historiků existoval spor o to, kde leží hranice mezi historií a současností. Starší byli toho názoru, že historii lze dělat teprve s odstupem nejméně padesáti letj mladší by byli rádi posunuli tuto hranici až do současnosti* Nyní už nevím, jak intenzívně jsem tento spor prožívala já osobně, ale určitě jseu táhla za jeden provaz s mladými — už proto, že jsem tehdy byla Mladá, a pak také proto, že mne vždycky ze všeho nejvíc zajímala současnost* Dnes, po všech životních zkušenostech, které jsem zatím získala. [pageend1]",1
92,"DISKUSE č. 8 - březen 1984 /Teoreticko—politický občasník/ Obsah tohoto čísla: O vztahu mezi reformou, revolucí a mocenským převratem /Vl. Tesařová/ Poznámky k reformě našeho dnešního hospodářského mechanismu — na pokračování /kolektiv autorů/ Vlastimila Tesařová . O v z t a h u mezi reformou,; revolucí a mocenským převratem# Je možná považovat náš současný politický systém za reformovatel- ný nebo je nutná politická revoluce? OdpověS na tuto otázku je probléme®, ,který dnes rozděluje československé opoziční hnutí na dva více méně proti sobě stojící tábory,» V táboře stoupenců názoru o nereformo- vatelnosti našeho politického systému je přitom pojmem ""politická revoluce* míněn násilný ""mocenský převrat"", který by zbavil moci současnou vládnoucí vrstvu /vykořisíovatelskou byrokracii/, otevřel xak cestu ke zrušení stávajících ""mocenských struktur* a vytvořil, podmínky pro nová uspořádání společnosti na ""samosprávném principu* /viz práci Petrxa Uhla a kolektivu ""Program společenské samosprávy""z roku 1980/« Myslím, že takto formulovaná otázka způsobu řešení naší dnešní; společenské problematiky je jen novou variantou teoreticko-političkého a prakticko-politického sporu, který ochromuje mezinárodní dělnické ...... hnutí po celé dvacáté století, sporu mezi revolučním hnutím á refor- mismem® Současně si myslím., že takovýto přístup k věci je pro naše opoziční hnutí platformou stejně málo šťastnou a nosnou jako téze, o níž jsem psala v Diskusi č®7 /viz ""Ještě jednou o ""vnuceném modelu**/® Osobně bych při řešení tohoto problému vyšla z definice společenské struktury a z ná plynoucího smyslu socialistické revoluce:» Společenskou strukturou chápu souhrn společenských vztahů a jim odpovídajících orgánů, organizací a institucí,: odvozených od základního společenského vztahu, jímž jsou výrobní vztahy® Kapitalistická společenská struktura je tedy souhrn společenských vztahů .a jim odpovídajících orgánů, organizací a institucí, odvozených od kapitalistických výrobních vztahů /tj od výrobních vztahů vykořisxovatelských, založených ha soukromém vlastnictví výrobních prostředků/« Socialistická a společenská struktura je naproti tomu souhrn společenských vztahů a jim odpovídajících orgánů, organizací a institucí, odvozených od socia- listic^ých výrobních vztahů /tj xxisxt od výrobníca vztahů vzájemné spolupráce, založených na společenském vlastnictví výrobních prostřed- [pageend1]",1
93,"DISKUSE č. 9 - březen 1984 /Teoreticko—politický občasník/ Obsah tohoto čísla: Zlevní vášně a podraží rozum? /Laureatus/ Poznámky k reformě našeho dnešního hospodářského mechanismu - na pokračování /kolektiv autorů/ Laureatus Zlevní vášně a podraží rozum? Mezinárodní rozpory se ostře vyhranují a vzrůstá nebezpečí nove války* Ne jakékoliv války, ne lokální války někde na periferii kontinentů, nýbrž války v samém centru nejvyspělejší části světa, zahrnují* cím Evropu, Severní Ameriku, Středomoří a Dálný východ - všechny neu- ralgické body, do nichž se koncentrovala již minulá světová válka» Hrozící raketový a jaderný konflikt by přeměnil celou tuto oblast v ruiny a spáleniště bez života* Naději na vyváznutí by mely snad jen méně vyvinuté oblasti Asi®, Afriky, Australie a Latinské Ameriky, vysunuté na okraj hlavního střetu* Odtud by se ausala znovu po staletí vyvíjet nová lidská civilizace, aby byl život na naší planetě zachráněn* A to se podařilo jen tenkrát, že by celá zemská atmosféra nebyla nenapravil tělně otrávena, zničena* Kultura antiky, gotiky, renesance, baroka, ro- mantisau, klasicismu i modernismo, architektonické skvosty, vzácné knihovny, muzeální sbírky, výtvarné galeri® vyspělých zemí by vzaly za své* Celá jedna lidská rasa ‘•bílých* by se navzájem vyvraždila* A není jis- , té, zda by s sebou nestrhla do propasti nebytí i ostatní lidská plemena’ nebo aspoň jejich část. Je to děsivé zjištění, avšak je nepopiratelným faktem, že jadernou záhubou hrozí světu právě nejvyspělejší část lidstva, honosící se svou civilizací, vzdělaností, kulturou, svým rozhodujícím přínosem celkovému vzestupu humanity až po pronikání do kosmu* Pro nás Evropany je strašné pomyšlení, že bychom měli svůj kontinent s jeho neopakovatelnou tváří prostě zničit* A pro nás Čechy je zajisté hrůzyplná představa, že by měly zaniknout krásy českého ráje, křivoklátských lesů, Kokořín- ska, malebného Povítaví, jihočeských rybníků, západočeských lázní, beskydských zákoutí, jihomoravských vinic, hanáckých lánů, že by měla zmizet Praha a další historická města, že by měla nastat definitivní tečka za našimi tisíciletými národními dějinami * A přece tomu není tak dávno, co se národy a vlády ujišťovaly svou vůlí a odhodláním žít v míru, respektovat se navzájem, spolupracovat v rozvoji materiálních a kulturních statků, řešit spory jednáním a do— [pageend1]",1
94,"DISKUSE č. 10 - duben 1984 /Teoreticko-politický občasník/ Obsah tohoto čísla: Zatracené dějiny /Milan Šimečka/ Poznámky k reformě našeho dnešního hospodářského mechanismu - dokončení /kolektiv autorů/ Mila® MM&H latra e « Bé ó i j i » y 8 /WMbH pìMM M MM VAulsw Cenného » ?w mí TV, MMhMM* WWMiMt se pěnit WcHW* černého procitala listí®. kterých teWeh MM Wto to příjemná ét®íe Stol ja® si: st^owt vMjom, to wselo btt Ml K^yi e® MMB MM k Běste, kt««- ré ai o«^ly tak MMMM »eals » vytrácet MÍMMi Myla. Rytí: vydal® pMi Václaw Černého svědectví, které M ut wtMae příjemka č tenia. Čtvrtý díl Waětí Mt to til dotýká nsjbolestM^MB Mšt MMhe MB» roteili® tkMMfe MM »tow IMMMWM gwvtteteých »soépi • pg' se aa* klsteě ^MÁMl Ml patologM*! nárotete© Mveta v lataeh 1948 M WJ. »tm ul pwirni ryeal® projde p©«lu » Wmsmí řeko©* wloscaací a ii^teví m j^td. rok«® 1966» tM jo to O 2á>i^ jMMMŠ« MM M Bissai Màsti tefj» B »» paniti, W »oje jmi, ®lMií a jistě i BlouptjM, se MHMf ©Mwt* Wojo mwklítatoí a®ply^s MMMB« « peebybscMÍ o |MMB • for* sélHÍsfa táto taiMf. Swí v ní sn^. mi mteá strisi.®» •MÉM* se tu intimi s « li-B»i, fctorf jam. jako stonat rkmaMwl jen gpcwtélí. ts>á Mèla, ls j® to taiMa psaná MBM WM Mědí. s b míIq svá ^ysvStlmí a opírá eB o vMi* BMBt « BM test w ú c iw u * Watótnré o tem, M SeMia® s« to v MMB síří, MM jeMě i fmasom.ak^»i povaàatey» Me^oteybuji 9 prihra J®Kic©lÍv psaMi wteřfsít pravt tMowa «kot«!« met, která se a© aí zapsala a mstarat S9 přit« © iMlM •É kt«f< ^teteí » aavtry v ai,jako» ©Spettivi tu ÍM|ÍÍMflM MH toteestí, Bewslowiji se tedy k pravdivostí, protote prev* diTOSt j«étì noni fysiMálaí MmMMH* BMI fMMíMM Vác* lev ťfert^ ai prav •dpoSocíú ML wnemi to dějiny probi* Mly rřesné tak, pem MBMmM v 4®^» kntoe, ^»^9 tó pou.se, t« jeho Mjtogr byly taková » basta« [pageend1]",1
