"Topic ID","Highest Ranking","Lowest Ranking"
"0","učitelské, pedagogové, učitelský, loktem, učitelku","masaryk, masarykovy, masaryka, masarykem, masarykových"
"1","vincenzo, návštěvníka, autobusem, hlubokému, vernisáži","jai, jaou, jeou, aoy, jato"
"2","slovaques, slovaks, slovakia, hess, slovak","199, 1985, 1989, 1983, připomeňme"
"3","listu, listy, listů, poštovného, posta","sks, srpnu, socialis, slezsku, slunné"
"4","cirkevných, biskupských, církevních, katolických, církevními","příroda, zatmění, šumění, nature, dušiček"
"5","režimu, lenin, jelínka, jelínek, leninismus","austrália, australian, australské, austrálie, australia"
"6","výkřiky, nevydrželi, odzbrojeni, nedočkali, výkřikem","vědu, věda, vědou, sciences, sci"
"7","zdmi, srpem, padaly, padl, kalandra","husákovým, husit, bisk, husák, boská"
"8","congressional, tennessee, senate, carolina, congress","český, balkán, sovětech, českí, českého"
"9","žaloba, obžalován, obžalovanému, obžalovaných, obviněn","1935, západ, pokolením, 1936, západoněmečtí"
"10","sopka, oklahoma, dining, steak, gromyka","hitlerv, xvi, xvii, egyptských, xviii"
"11","citizens, conscience, spoluobčany, spoluobčanm, responsibility","1298, znamenité, římští, staročeské, 1297"
"12","hospodářství, hospodárstva, hospodárstvo, hospodárskych, hospodárske","útěchu, útěcha, útěchou, tajemníci, dopisoval"
"13","československo, čechoslováci, československa, československu, českosloven","concert, koncertní, hudební, koncertních, koncerty"
"14","bible, bohoslužba, božstvo, božského, božské","západoněmec, západoněmecký, západoněmeckou, nacistické, jezdila"
"15","dubčekovy, husákovi, dubčekovi, dubčeka, dubčekovo","frankfurt, zürich, frankfurtě, frankfurtu, frankfurter"
"16","českosloven, velen, vyšehrad, kyjev, vln","autorit, accountant, publishing, pochybuje, paradoxy"
"17","čtenářských, čtenářský, čtenářskou, čtenářm, čtenářská","goebbels, gestapu, soviets, špionáž, sovieti"
"18","skautských, skautském, skauti, skautské, skautingu","kapitalist, mojžíš, materialismus, kapitalisty, marxist"
"19","rumun, umenia, danube, vaňka, rumuny","sokolství, tělovýchovy, sokolští, sokolské, sokolským"
